date,country,daily_cases,daily_deaths,daily_recovered,total_cases,total_deaths,total_recovered,active_cases
2020-10-06,USA,30703,340,22076,2568254,51426,2251658,265170
2020-10-07,USA,34453,413,18812,2602707,51839,2270470,280398
2020-10-08,USA,22248,262,25668,2624955,52101,2296138,276716
2020-10-09,USA,25809,425,22883,2650764,52526,2319021,279217
2020-10-10,USA,22555,435,27155,2673319,52961,2346176,274182
2020-10-11,USA,28880,505,19378,2702199,53466,2365554,283179
2020-10-12,USA,37273,529,21195,2739472,53995,2386749,298728
2020-10-13,USA,36126,563,20089,2775598,54558,2406838,314202
2020-10-14,USA,31163,537,23165,2806761,55095,2430003,321663
2020-10-15,USA,28801,439,28300,2835562,55534,2458303,321725
2020-10-16,USA,29999,465,28075,2865561,55999,2486378,323184
2020-10-17,USA,28232,489,35956,2893793,56488,2522334,314971
2020-10-18,USA,35199,488,18483,2928992,56976,2540817,331199
2020-10-19,USA,39495,602,25089,2968487,57578,2565906,345003
2020-10-20,USA,38931,570,25851,3007418,58148,2591757,357513
2020-10-21,USA,45456,839,24951,3052874,58987,2616708,377179
2020-10-22,USA,36362,363,33356,3089236,59350,2650064,379822
2020-10-23,USA,26891,661,36463,3116127,60011,2686527,369589
2020-10-24,USA,34172,421,30453,3150299,60432,2716980,372887
2020-10-25,USA,36635,387,28618,3186934,60819,2745598,380517
2020-10-26,USA,46792,717,30207,3233726,61536,2775805,396385
2020-10-27,USA,42634,585,28822,3276360,62121,2804627,409612
2020-10-28,USA,42422,681,37540,3318782,62802,2842167,413813
2020-10-29,USA,39556,468,39469,3358338,63270,2881636,413432
2020-10-30,USA,37532,510,36472,3395870,63780,2918108,413982
2020-10-31,USA,33147,327,46572,3429017,64107,2964680,400230
2020-11-01,USA,40822,596,41539,3469839,64703,3006219,398917
2020-11-02,USA,45493,378,25472,3515332,65081,3031691,418560
2020-11-03,USA,46370,493,29608,3561702,65574,3061299,434829
2020-11-04,USA,52291,971,39063,3613993,66545,3100362,447086
2020-11-05,USA,41823,779,44379,3655816,67324,3144741,443751
2020-11-06,USA,33481,539,32036,3689297,67863,3176777,444657
2020-11-07,USA,41574,509,44176,3730871,68372,3220953,441546
2020-11-08,USA,51598,669,35940,3782469,69041,3256893,456535
2020-11-09,USA,53604,861,35704,3836073,69902,3292597,473574
2020-11-10,USA,44805,602,32877,3880878,70504,3325474,484900
2020-11-11,USA,45714,1013,39935,3926592,71517,3365409,489666
2020-11-12,USA,46105,852,46771,3972697,72369,3412180,488148
2020-11-13,USA,36143,656,42576,4008840,73025,3454756,481059
2020-11-14,USA,41083,609,52775,4049923,73634,3507531,468758
2020-11-15,USA,47776,776,39107,4097699,74410,3546638,476651
2020-11-16,USA,46551,490,34516,4144250,74900,3581154,488196
2020-11-17,USA,51322,802,42367,4195572,75702,3623521,496349
2020-11-18,USA,35459,821,44900,4231031,76523,3668421,486087
2020-11-19,USA,38518,607,57048,4269549,77130,3725469,466950
2020-11-20,USA,37458,572,40707,4307007,77702,3766176,463129
2020-11-21,USA,35483,1023,47431,4342490,78725,3813607,450158
2020-11-22,USA,50313,1052,45886,4392803,79777,3859493,453533
2020-11-23,USA,43854,857,41075,4436657,80634,3900568,455455
2020-11-24,USA,48787,900,38558,4485444,81534,3939126,464784
2020-11-25,USA,47228,1053,44262,4532672,82587,3983388,466697
2020-11-26,USA,45488,981,44602,4578160,83568,4027990,466602
2020-11-27,USA,32752,656,47775,4610912,84224,4075765,450923
2020-11-28,USA,41519,640,36763,4652431,84864,4112528,455039
2020-11-29,USA,42733,974,31000,4695164,85838,4143528,465798
2020-11-30,USA,43592,897,32170,4738756,86735,4175698,476323
2020-12-01,USA,49875,1079,30426,4788631,87814,4206124,494693
2020-12-02,USA,44968,712,52890,4833599,88526,4259014,486059
2020-12-03,USA,36611,829,49301,4870210,89355,4308315,472540
2020-12-04,USA,34934,594,46346,4905144,89949,4354661,460534
2020-12-05,USA,34414,795,44573,4939558,90744,4399234,449580
2020-12-06,USA,40103,926,43974,4979661,91670,4443208,444783
2020-12-07,USA,46164,1097,35095,5025825,92767,4478303,454755
2020-12-08,USA,50015,742,36161,5075840,93509,4514464,467867
2020-12-09,USA,36643,1121,42001,5112483,94630,4556465,461388
2020-12-10,USA,41189,832,45929,5153672,95462,4602394,455816
2020-12-11,USA,26705,500,50279,5180377,95962,4652673,431742
2020-12-12,USA,31819,658,43987,5212196,96620,4696660,418916
2020-12-13,USA,37587,701,38664,5249783,97321,4735324,417138
2020-12-14,USA,40320,827,24470,5290103,98148,4759794,432161
2020-12-15,USA,37773,962,35276,5327876,99110,4795070,433696
2020-12-16,USA,35671,694,35980,5363547,99804,4831050,432693
2020-12-17,USA,30019,634,36204,5393566,100438,4867254,425874
2020-12-18,USA,26673,868,50468,5420239,101306,4917722,401211
2020-12-19,USA,30303,804,40009,5450542,102110,4957731,390701
2020-12-20,USA,32393,756,38997,5482935,102866,4996728,383341
2020-12-21,USA,32547,805,28079,5515482,103671,5024807,387004
2020-12-22,USA,37087,885,35471,5552569,104556,5060278,387735
2020-12-23,USA,32218,710,40828,5584787,105266,5101106,378415
2020-12-24,USA,28740,564,45055,5613527,105830,5146161,361536
2020-12-25,USA,25292,436,38953,5638819,106266,5185114,347439
2020-12-26,USA,22702,364,34502,5661521,106630,5219616,335275
2020-12-27,USA,25684,696,24201,5687205,107326,5243817,336062
2020-12-28,USA,31065,780,24976,5718270,108106,5268793,341371
2020-12-29,USA,30761,583,26637,5749031,108689,5295430,344912
2020-12-30,USA,26523,801,37848,5775554,109490,5333278,332786
2020-12-31,USA,22938,386,30695,5798492,109876,5363973,324643
2021-01-01,USA,22280,321,36042,5820772,110197,5400015,310560
2021-01-02,USA,19387,538,32634,5840159,110735,5432649,296775
2021-01-03,USA,23423,665,27710,5863582,111400,5460359,291823
2021-01-04,USA,24005,737,28395,5887587,112137,5488754,286696
2021-01-05,USA,23930,570,20436,5911517,112707,5509190,289620
2021-01-06,USA,23947,662,25136,5935464,113369,5534326,287769
2021-01-07,USA,20033,481,27608,5955497,113850,5561934,279713
2021-01-08,USA,17774,411,25632,5973271,114261,5587566,271444
2021-01-09,USA,18531,449,23904,5991802,114710,5611470,265622
2021-01-10,USA,18515,487,21938,6010317,115197,5633408,261712
2021-01-11,USA,21182,356,20470,6031499,115553,5653878,262068
2021-01-12,USA,19547,667,17322,6051046,116220,5671200,263626
2021-01-13,USA,18593,565,19323,6069639,116785,5690523,262331
2021-01-14,USA,15323,335,22853,6084962,117120,5713376,254466
2021-01-15,USA,13876,400,19516,6098838,117520,5732892,248426
2021-01-16,USA,14532,354,24736,6113370,117874,5757628,237868
2021-01-17,USA,14319,409,19390,6127689,118283,5777018,232388
2021-01-18,USA,19501,354,14576,6147190,118637,5791594,236959
2021-01-19,USA,15392,343,17239,6162582,118980,5808833,234769
2021-01-20,USA,13731,394,16437,6176313,119374,5825270,231669
2021-01-21,USA,14279,408,20983,6190592,119782,5846253,224557
2021-01-22,USA,12439,324,21280,6203031,120106,5867533,215392
2021-01-23,USA,12467,282,14502,6215498,120388,5882035,213075
2021-01-24,USA,13893,351,14879,6229391,120739,5896914,211738
2021-01-25,USA,14545,149,13107,6243936,120888,5910021,213027
2021-01-26,USA,13684,393,14887,6257620,121281,5924908,211431
2021-01-27,USA,13630,198,14039,6271250,121479,5938947,210824
2021-01-28,USA,11149,232,17313,6282399,121711,5956260,204428
2021-01-29,USA,11528,175,14304,6293927,121886,5970564,201477
2021-01-30,USA,10881,175,12132,6304808,122061,5982696,200051
2021-01-31,USA,11631,286,15182,6316439,122347,5997878,196214
2021-02-01,USA,13568,286,11966,6330007,122633,6009844,197530
2021-02-02,USA,14810,266,14243,6344817,122899,6024087,197831
2021-02-03,USA,12798,220,13256,6357615,123119,6037343,197153
2021-02-04,USA,11086,252,12974,6368701,123371,6050317,195013
2021-02-05,USA,11173,203,11148,6379874,123574,6061465,194835
2021-02-06,USA,11714,149,10725,6391588,123723,6072190,195675
2021-02-07,USA,12693,267,9007,6404281,123990,6081197,199094
2021-02-08,USA,14493,210,11362,6418774,124200,6092559,202015
2021-02-09,USA,16072,150,10977,6434846,124350,6103536,206960
2021-02-10,USA,13268,199,9400,6448114,124549,6112936,210629
2021-02-11,USA,11988,231,14191,6460102,124780,6127127,208195
2021-02-12,USA,11948,215,13530,6472050,124995,6140657,206398
2021-02-13,USA,13262,161,12466,6485312,125156,6153123,207033
2021-02-14,USA,16152,171,12358,6501464,125327,6165481,210656
2021-02-15,USA,20329,201,11688,6521793,125528,6177169,219096
2021-02-16,USA,20612,331,10943,6542405,125859,6188112,228434
2021-02-17,USA,18316,217,11099,6560721,126076,6199211,235434
2021-02-18,USA,16852,190,10919,6577573,126266,6210130,241177
2021-02-19,USA,14704,212,14319,6592277,126478,6224449,241350
2021-02-20,USA,17132,193,12468,6609409,126671,6236917,245821
2021-02-21,USA,19722,189,10372,6629131,126860,6247289,254982
2021-02-22,USA,24046,218,11319,6653177,127078,6258608,267491
2021-02-23,USA,23347,248,12829,6676524,127326,6271437,277761
2021-02-24,USA,25163,205,15157,6701687,127531,6286594,287562
2021-02-25,USA,24762,214,18247,6726449,127745,6304841,293863
2021-02-26,USA,20771,188,20121,6747220,127933,6324962,294325
2021-02-27,USA,23260,236,18360,6770480,128169,6343322,298989
2021-02-28,USA,28021,246,14413,6798501,128415,6357735,312351
2021-03-01,USA,29866,320,16107,6828367,128735,6373842,325790
2021-03-02,USA,33507,191,16284,6861874,128926,6390126,342822
2021-03-03,USA,31828,334,18968,6893702,129260,6409094,355348
2021-03-04,USA,29231,277,24719,6922933,129537,6433813,359583
2021-03-05,USA,25813,271,22935,6948746,129808,6456748,362190
2021-03-06,USA,29599,110,26458,6978345,129918,6483206,365221
2021-03-07,USA,36119,429,24454,7014464,130347,6507660,376457
2021-03-08,USA,44934,358,18718,7059398,130705,6526378,402315
2021-03-09,USA,46114,436,23136,7105512,131141,6549514,424857
2021-03-10,USA,48343,304,23823,7153855,131445,6573337,449073
2021-03-11,USA,35190,423,28982,7189045,131868,6602319,454858
2021-03-12,USA,37911,249,32059,7226956,132117,6634378,460461
2021-03-13,USA,38458,309,29918,7265414,132426,6664296,468692
2021-03-14,USA,52163,587,27701,7317577,133013,6691997,492567
2021-03-15,USA,47920,434,20117,7365497,133447,6712114,519936
2021-03-16,USA,50618,528,26855,7416115,133975,6738969,543171
2021-03-17,USA,49523,563,34996,7465638,134538,6773965,557135
2021-03-18,USA,39074,483,43826,7504712,135021,6817791,551900
2021-03-19,USA,42421,399,39719,7547133,135420,6857510,554203
2021-03-20,USA,44272,476,52283,7591405,135896,6909793,545716
2021-03-21,USA,55589,801,30856,7646994,136697,6940649,569648
2021-03-22,USA,64808,664,39922,7711802,137361,6980571,593870
2021-03-23,USA,76453,716,38496,7788255,138077,7019067,631111
2021-03-24,USA,68218,871,46840,7856473,138948,7065907,651618
2021-03-25,USA,54439,639,54170,7910912,139587,7120077,651248
2021-03-26,USA,49572,696,42793,7960484,140283,7162870,657331
2021-03-27,USA,58774,642,51911,8019258,140925,7214781,663552
2021-03-28,USA,58624,595,41264,8077882,141520,7256045,680317
2021-03-29,USA,85845,939,37993,8163727,142459,7294038,727230
2021-03-30,USA,85879,575,48419,8249606,143034,7342457,764115
2021-03-31,USA,71641,773,52031,8321247,143807,7394488,782952
2021-04-01,USA,57510,487,64011,8378757,144294,7458499,775964
2021-04-02,USA,68743,614,75305,8447500,144908,7533804,768788
2021-04-03,USA,64708,690,64609,8512208,145598,7598413,768197
2021-04-04,USA,82736,864,56498,8594944,146462,7654911,793571
2021-04-05,USA,74609,1025,51365,8669553,147487,7706276,815790
2021-04-06,USA,84857,1472,46557,8754410,148959,7752833,852618
2021-04-07,USA,84106,1081,63619,8838516,150040,7816452,872024
2021-04-08,USA,75132,751,68710,8913648,150791,7885162,877695
2021-04-09,USA,66779,856,90956,8980427,151647,7976118,852662
2021-04-10,USA,76143,1051,76524,9056570,152698,8052642,851230
2021-04-11,USA,76037,638,49186,9132607,153336,8101828,877443
2021-04-12,USA,92841,1384,63282,9225448,154720,8165110,905618
2021-04-13,USA,98264,1408,55251,9323712,156128,8220361,947223
2021-04-14,USA,95041,967,77719,9418753,157095,8298080,963578
2021-04-15,USA,85415,1050,69418,9504168,158145,8367498,978525
2021-04-16,USA,67679,953,87814,9571847,159098,8455312,957437
2021-04-17,USA,67923,947,91321,9639770,160045,8546633,933092
2021-04-18,USA,97267,1138,82193,9737037,161183,8628826,947028
2021-04-19,USA,101753,1064,60503,9838790,162247,8689329,987214
2021-04-20,USA,96026,940,71567,9934816,163187,8760896,1010733
2021-04-21,USA,107078,848,60707,10041894,164035,8821603,1056256
2021-04-22,USA,84629,1401,81944,10126523,165436,8903547,1057540
2021-04-23,USA,83967,783,103435,10210490,166219,9006982,1037289
2021-04-24,USA,79856,860,105979,10290346,167079,9112961,1010306
2021-04-25,USA,104854,609,71876,10395200,167688,9184837,1042675
2021-04-26,USA,114645,1137,61122,10509845,168825,9245959,1095061
2021-04-27,USA,100955,1012,65033,10610800,169837,9310992,1129971
2021-04-28,USA,102942,1766,95992,10713742,171603,9406984,1135155
2021-04-29,USA,87920,1433,89774,10801662,173036,9496758,1131868
2021-04-30,USA,84394,813,96094,10886056,173849,9592852,1119355
2021-05-01,USA,72249,1370,97924,10958305,175219,9690776,1092310
2021-05-02,USA,93067,1615,81126,11051372,176834,9771902,1102636
2021-05-03,USA,106264,1318,85011,11157636,178152,9856913,1122571
2021-05-04,USA,85769,664,76710,11243405,178816,9933623,1130966
2021-05-05,USA,83317,2156,96267,11326722,180972,10029890,1115860
2021-05-06,USA,67026,842,108852,11393748,181814,10138742,1073192
2021-05-07,USA,70894,774,96060,11464642,182588,10234802,1047252
2021-05-08,USA,78410,1320,95167,11543052,183908,10329969,1029175
2021-05-09,USA,93069,2138,82218,11636121,186046,10412187,1037888
2021-05-10,USA,92278,2002,93970,11728399,188048,10506157,1034194
2021-05-11,USA,105037,1533,73249,11833436,189581,10579406,1064449
2021-05-12,USA,75788,1569,86704,11909224,191150,10666110,1051964
2021-05-13,USA,63675,1399,109123,11972899,192549,10775233,1005117
